question,a,b,c,d,answer,source,id
True about bicuspidization:,Separation of mandibular molar mesial and distal roots with their respective crown portions,Separation or removal of half root with their respective crown portion in mandibular molar,Separation or removal of half root without their respective crown portion in mandibular molar,Separation or removal of half-crown without their respective root portion in mandibular molar,0,MEDMCQA,167
An epithelial lining is typically found in all of the following except:,Sinuses,Fistulae,Aneurismal bone cysts,Keratocytes,2,MEDMCQA,168
"In constructing a fixed partial denture for a patient, the
dentist will use a hygienic pontic. Which of the following
will primarily determine the faciolingual dimension of
the occlusal portion of this pontic?",The length of the pontic,"The masticatory, force of the patient",The position of the opposing contact areas,The width and crestaL position of the edentulous ridge,2,MEDMCQA,169
According to Tweed inclination of lower incisors by 1° labially increases the arch length by,0.5 mm,0.8 mm,1.0 mm,1.2 mm,1,MEDMCQA,170
"In moyer's classification of class II type D malocclusion, there is:",Orthognatic maxilla and orthognathic mandible,Prognathic maxilla and orthognathic mandible,Orthognathic maxilla and retrognathic mandible,Retrognathic maxilla and retrognathic mandible,2,MEDMCQA,171
Modification spaces are:,Spaces other than the original class,Space posterior to all teeth,Space anterior to all teeth,Additional space in class IV,0,MEDMCQA,172
Highly vascular tumor of brain and spinal cord in adults:,Metastasis,Pilocytic astrocytoma,Hemangioblastoma,Cavernous malformation,2,MEDMCQA,173
Muscles of mastication are supplied by:,Second part of maxillary artery,Third part of maxillary artery,First part of maxillary artery,Facial artery,0,MEDMCQA,174
"A patient presents with carcinoma of the larynx involving the left false cords, left arytenoid and the left aryepiglottic folds with bilateral mobile true cords. Treatment of choice is -",Vertical hemilaryngectomy,Horizontal partial hemilaryngectomy,Total laryngectomy,Radiotherapy followed by chemotherapy,0,MEDMCQA,175
"The hormone, which stimulates uterus contraction and lets down milk, is:",Progesterone,Prolactin,Prostaglandin,Oxytocin,3,MEDMCQA,176
A 12-years-old child suffers from an avulsed tooth following trauma. The best medium which to carry in the tooth to the dental clinic is:,Buccal vestibule,Milk,Water,Cotton,1,MEDMCQA,177
Drug not used in H. pylori?,Metronidazole,Omeprazole,Mosapride,Amoxicillin,2,MEDMCQA,178
Rooting reflex also known as search reflex disappears:,2 month,3 month,4 month,5 month,2,MEDMCQA,179
Marginal bone loss around mandibular implant depends on all except,Abutment,Boning technique,Connector,Implant fixture,1,MEDMCQA,180
For how long should NiTi files be submerged in NaOCl at 122-degree F to prevent damage to file corrosion,20 mins,45 mins,60 mins,2 hours,2,MEDMCQA,181
"Sudden death in a patient with an acute myocardial
infarction is most commonly due to",Aortic dissection,Atrial fibrillation,Cardiac tamponade,Ventricular fibrillation,3,MEDMCQA,182
99.73 variation involves how many SD?,1,2,3,4,2,MEDMCQA,183
Virus is cultured in:,Sabouraud's agar,Rogosa medium,Nonembryonated egg,Embryonated egg,3,MEDMCQA,184
A patient is suffering from dehydration secondary to diarrhea. Which of the following intravenous agent is used in this case?,10% glucose solution,Distilled water,0.9% saline,5% glucose solution,2,MEDMCQA,185
Increased collum angle is seen in,Class I bimaxillary protrusion,Class II div 1,Class II div 2,Class III,2,MEDMCQA,186
Haddon matrix is related to:,Injury prevention,Communicable diseases,Maternal and child moality,Hypeensive disorders,1,MEDMCQA,187
"Peg-shaped incisors which taper towards the indsal edge
are typically seen in all of the following conditions EXCEPT",Congenital syphilis,Rickets,Anhyirotic ectodermal dysplasia,Supernumerary teeth,1,MEDMCQA,188
Pick out odd drugs for anaesthetic emergencies are:,AminophylLine,Epinephrine,Atropine sulphate,Amoxycillin,3,MEDMCQA,189
A patient on amphotericin B develops hypokalemia of 2.3 meq/l. K+ supplementation required?,40 mEq over 24 hours,60 mEq over 24 hours,80 mEq over 24 hours,120-160 mEq over 24 hours,3,MEDMCQA,190
A morbidly obese diabetic woman was on failed metformin therapy. She has the history of pancreatitis and family history of bladder cancer. Patient does not want to take injections. Which of the following would be suitable to reduce her glucose levels?,Liraglutide,Sitagliptin,Canagliflozin,Pioglitazone,2,MEDMCQA,191
Cross-linking in resins helps increasing:,Strength,Hardness,Crazing resistance,All of the above,3,MEDMCQA,192
Production and citation impact of published work of a scientist or scholar,Impact factor,Citation,H index,Z index,1,MEDMCQA,193
"Sequential arrangement question on JVP. Staing with ""a"" wave. A-First hea sound B-T wave C-R wave D-Rapid ejection phase","A,B,C,D","A,C,D,B","C,A,D,B","D,C,B,A",2,MEDMCQA,194
"A lady complains of headache, nausea and tenderness in temporal region with migraine. On microscopic investigation what will be seen",Temporal aneurysm,Giant cell arteritis,Granulomatous giant cell lesions,Luminal thrombosis,1,MEDMCQA,195
Major determinant of loading dose of a drug is,Half life,Clearance,Volume of distribution,Bioavailability,2,MEDMCQA,196
Best biochemical description of glucose is?,Exists as ketose sugar,Present in L form in all biosystems,Its C-4 epimer is galactose,It's a disaccharide,2,MEDMCQA,197
What is the location of Meissner's corpuscles?,Lucidum,Basale,Reticular dermis,Papillary dermis,3,MEDMCQA,198
Soft palate is made up of:,Palatoglossus and palatopharyngeus,Uvula,Mucous membrane and muscles,All of the above,3,MEDMCQA,199
"Concentric teeth bite mark on forearm, what to do next?",2 swab technique for saliva collection,Keep scale for measuring below the mark and take photo in the plane of bite,Complete description of injury as seen,Prepare cast using vinyl polysiloxane,2,MEDMCQA,200
Gutta Percha can effectively be sterilized by?,Hot salt sterilizer,Chemical solutions,Autoclaving,Dry heat,1,MEDMCQA,201
Minimum dosage of tetracycline which will show tooth discoloration is,5 mg/kg body weight,20 mg/kg body weight,50 mg/kg body weight,80 mg/kg body weight,1,MEDMCQA,202
Natural disaster causing maximum deaths,Hydrological,Meterological,Geological,Fires,0,MEDMCQA,203
"A patient complains of loss of visual acuity, deafness and enlargement of maxilla:",Paget's disease,Osteomalacia,Fibrous dysplasia,Osteogenesis imperfecta,0,MEDMCQA,204
"In a patient with competent lips together at rest, the lip
line is opposite the tips of the upper incisors. The lip line is then described as",Average,High,Incomplete,Low,3,MEDMCQA,205
Which of the following statements is false about apoptosis?,No inflammation,Intact plasma membrane,Swelling of organelles,Affected by dedicated genes,2,MEDMCQA,206
Which of the following is not true regarding teeth features and ethnicity?,Upper third molar is most commonly absent in Mongolians,Carabelli cusps are seen in Caucasians,"Negros have wide molar cusps and deep, shovel shaped cusps in incisors",Prominent lingual ridge and labial ridge is seen in Mongolians,2,MEDMCQA,207
A patient on Anti - tubercular therapy develops tingling sensation in the limbs. Which of the following when substituted can result in improvement of symptoms?,Thiamine,Pyridoxine,Folic acid,Methylcobalamine,1,MEDMCQA,208
"Divergence from contact area in proximal surfaces
causes embrasures:",Facially,Lingually,Cervically,"Facially, lingually, cervically & occlusally",3,MEDMCQA,209
"A young healthy male patient presented with abdominal pain and history of altered bowel habits from the last 6 months. On CT examination, there was dilated distal pa of ileum, thickened ileocecal junction with thickened cecum with presence of sacculations on the antimesenteric border. The vascularity of adjoining mesentery is also increased and there is surrounding mesentery fat. Which of the following is not a differential diagnosis?",Ulcerative colitis,Crohn's disease,Tuberculosis,Ischemic bowel disease,3,MEDMCQA,210
Indirect retention is designed to,Stabilize tooth borne RPD,Engage an undercut area of the abutment tooth,Resist tissue ward movement of an extension base partial denture,Resist dislodgement of an extension base partial denture in occlusal direction,3,MEDMCQA,211
Swelling and redness of the orifices of minor salivary glands of the palate occurs in:,Nicotinic stornatitis,Leukoplakia,Fovea palatine,Erythroplakia,0,MEDMCQA,212
"To assess outcome from labour, cost, time",Cost benefit,Cost Effectiveness,Cost utility,Risk Benefit,0,MEDMCQA,213
"A middle aged female presents with slowly progressive weakness of lower limbs, spasticity and recent onset hesitancy of Micturition. On neurological examination there is evidence of dorsal myelopathy. MRI scan of spine reveals middorsal intradural contrast enhancing mass lesion. Diagnosis is:",Intradural lipoma,Dermoid cyst,Meningioma,Epidermoid cyst,2,MEDMCQA,214
A middle aged male patient presents with fever and diarrhea for 1 week and acute onset pain abdomen for 6 hours. An erect abdominal X-ray was taken as shown. What is the likely diagnosis?,Pseudomembranous colitis,Adenocarcinoma colon,Pneumatosis intestinalis,Toxic megacolon,3,MEDMCQA,215
Which of the following zone is characterized by macrophages and osteoclasts?,Zone of infection,Zone of contamination,Zone of irritation,Zone of stimulation,2,MEDMCQA,216
A neonate presents with jaundice and clay coloured stools. Liver biopsy shows giant cells diagnosis is –,Neonatal hepatitis with physiological jaundice,Neonatal hepatitis with extrahepatic biliary atresia,Physiological jaundice,Physiological jaundice with extrahepatic biliary atresia,1,MEDMCQA,217
"A 60 years old patient having cardiorespiratory arrest in hospital ward, for oxygenation what should be done immediately?",Nasal intubation,Oral intubation,Cricothyroid membrane puncture,Tracheostomy,1,MEDMCQA,218
"The facial proportions  between upper, middle and lower thirds of fare Is:",25:50:25,34:33:33,35:30:35,30:35:35,3,MEDMCQA,219
Ammonia from brain is removed as:,Urea,Alanine,Glutamate,Glutamine,3,MEDMCQA,220
Which of the following statement is true as far as spring back bending of super-elastic NiTi and non-super elastic NiTI wires is concern?,Spring back in bending is much greater for superelastic NiTi wires than non-superelastic NiTi,Spring back in bending is much lesser for superelastic NiTi wires than non-superelastic,Spring back in bending is same for superelastic Nill wires as well as non-superelastic NiTi wires,No comparison can be made between the spring back in bending of these two wires,0,MEDMCQA,221
In case of addition silicones what should be done for better cast,Apply ketone over tray,Apply chloroform over tray,Add flavouring agent to prevent bad odour,Delay pouring of cast,3,MEDMCQA,222
Which of the following is used for the treatment of paucibacillary leprosy?,2 drugs for 6 months,2 drugs for 12 months,3 drugs for 6 months,3 drugs for 12 months,2,MEDMCQA,223
Judet view of X-ray is for:,Calcaneum,Scaphoid,Shoulder,Pelvis,3,MEDMCQA,224
Autoinfection can be caused by all the following helminths except:,Enterobius vermicularis,Hymenolepis nana,Taenia solium,Ascaris lumbricoides,3,MEDMCQA,225
Scaphoid fracture at waist with retrograde blood supply. Which segment is most susceptible to avascular necrosis?,Proximal,Distal,Middle,Scaphoid tubercle,0,MEDMCQA,226
"Deepening the pulpal floor during cavity preparation
provides for",Outline form,Retention form,convenience form,Resistance form,3,MEDMCQA,227
Which of the following disease modifying anti-rheumatoid drugs acts by increasing extracellular adenosine?,Leflunomide,Hydroxychloroquine,Azathioprine,Methotrexate,3,MEDMCQA,228
Which of these is not a theory of TMJ ankylosis?,Calcification in the soft tissues around the joint space,Synovial fluid attracting calcium ions,Lateral displacement of fracture condyle with fusion  with zygomatic bone,Condylar burst,1,MEDMCQA,229
"A boy presented with a history of fever, headache and vomiting since 3 days and disorientation since I day. On examination, neck rigidity was positive. He also had 1 episode of generalized tonic clonic seizures (GTC) and then he became unconscious. CECT was found to be normal. CSF examination reveals a cell count of 300 cells/mm3 (polymorphs: 50-70%), protein 70 mg/dL, sugar 50 mg/dL (blood: 95 mg/dL). Which of the following is the most likely diagnosis?",Pyogenic meningitis,Tubercular meningitis,Herpes encephalitis,Cerebral malaria,0,MEDMCQA,230
